ID_i,ID_j,MEDIA_i,MEDIA_j,Distancia
11001496,33006571,264.05,262.255,17.205783476717965
11001496,35903814,264.05,264.82500000000005,17.54232545492207
11001496,41130170,264.05,263.02,16.441619285295783
11001496,43019684,264.05,263.83,16.62183137735002
11001496,43043119,264.05,263.035,17.291702439059616
11001496,43111769,264.05,262.24,17.233649292046536
11009888,33011311,254.625,256.375,17.532201217471652
12015342,33011311,254.015,256.375,18.068992959501294
13020803,35923655,246.875,246.1,16.40606620875719
13020803,41033930,246.875,247.995,16.816718034774077
13020803,43123899,246.875,248.77,17.518339328841055
13021354,42030471,252.39,250.1,16.710035442860484
13012096,22140379,223.21,222.545,16.415978076972863
13026577,23225190,311.44,309.895,16.905093769504003
13246208,35038878,282.58000000000004,284.535,16.562168816743107
13304224,23265833,313.815,315.37,18.0561599924591
13001345,21370206,210.585,211.345,30.362432425930628
13001345,21315604,210.585,209.845,30.85896817245936
13102290,15131130,219.065,219.8,20.87941224993671
13102290,21272689,219.065,219.23,21.063465472868838
13102290,21336806,219.065,218.205,20.523659332915358
13102290,21025673,219.065,221.215,19.914342072967507
13102290,21039810,219.065,221.415,19.16831303462119
13102290,21275106,219.065,219.3,20.418366143544997
13102290,21150508,219.065,220.375,20.331548116121233
13102290,21143927,219.065,216.905,20.131740478308544
13102290,27003108,219.065,220.69,21.81071851686978
13102290,29526809,219.065,220.785,20.918382739762432
13102290,29047250,219.065,221.125,21.919035689345804
13007572,33005478,252.36,253.8,16.715712347680718
13081810,33125341,234.145,236.515,17.287870683064533
13081810,41033370,234.145,233.875,17.253720928720664
13008455,35012634,242.38,243.105,16.405303155526216
13008455,35910181,242.38,242.555,16.88249601803529
14321459,35903814,265.48,264.82500000000005,17.389537620354265
15064360,15064646,239.55,237.205,17.553034427082576
15064646,15034607,237.205,239.35,18.997963718381566
15064646,15087077,237.205,234.925,17.772523666558705
15064646,15039803,237.205,236.715,17.89613952717929
15064646,15043517,237.205,238.72,19.177889171335952
15064646,15160262,237.205,235.435,17.8090975765435
15064646,15089428,237.205,238.575,16.741917309519245
15064646,15542297,237.205,238.66,19.436583276986863
15064646,15111938,237.205,235.095,17.486821256604074
15064646,15140591,237.205,238.22,18.049730637623732
15064646,15577660,237.205,238.66,17.78272139564844
15064646,15052222,237.205,234.88,17.97898864270423
15064646,15011380,237.205,239.595,19.124158354038173
15064646,15109879,237.205,237.51,19.58739058904699
15064646,17054060,237.205,235.765,21.10232316022569
15064646,21022950,237.205,236.94,17.726213090175115
15064646,21101523,237.205,237.33,18.61633257141463
15064646,21221111,237.205,235.05,17.846031694051565
15064646,21073805,237.205,235.19,17.893057336080865
