ID_i,ID_j,MEDIA_i,MEDIA_j,Distancia
21243875,26027836,226.32,304.555,6.005406355821091
22133682,26027836,227.875,304.555,6.54676468278068
22025308,29387019,327.02,245.29,6.293896290057187
23225190,29050910,309.895,234.155,6.556933058323724
23036010,29410835,299.405,221.91000000000005,6.257444648491277
23026359,29410835,298.185,221.91000000000005,6.438811799541072
26027836,29021677,304.555,225.29,6.424191446104892
26027836,29410835,304.555,221.91000000000005,6.507916199787101
26027836,29432510,304.555,229.585,6.017213972332168
31001490,31009202,314.68,239.34,6.016512304504979
31103187,31009202,314.49,239.34,6.285263701949753
31009202,32038755,239.34,317.08500000000004,6.13998994667771
35000954,35207639,331.05,254.95,6.1646322896460815
